회수,단어,빈도수
제303회[정례회](2021.11.01 ~ 2021.12.27),참고,30.0
제303회[정례회](2021.11.01 ~ 2021.12.27),보고서,39.0
제303회[정례회](2021.11.01 ~ 2021.12.27),실음,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부의,10.0
제303회[정례회](2021.11.01 ~ 2021.12.27),일문일답,7.0
제303회[정례회](2021.11.01 ~ 2021.12.27),효율,20.0
제303회[정례회](2021.11.01 ~ 2021.12.27),이내,36.0
제303회[정례회](2021.11.01 ~ 2021.12.27),보충,31.0
제303회[정례회](2021.11.01 ~ 2021.12.27),양해,26.0
제303회[정례회](2021.11.01 ~ 2021.12.27),직위,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),성명,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),계시,102.0
제303회[정례회](2021.11.01 ~ 2021.12.27),인구,78.0
제303회[정례회](2021.11.01 ~ 2021.12.27),국정감사,7.0
제303회[정례회](2021.11.01 ~ 2021.12.27),내지,52.0
제303회[정례회](2021.11.01 ~ 2021.12.27),정리,55.0
제303회[정례회](2021.11.01 ~ 2021.12.27),응답,6.0
제303회[정례회](2021.11.01 ~ 2021.12.27),금년,26.0
제303회[정례회](2021.11.01 ~ 2021.12.27),다해,11.0
제303회[정례회](2021.11.01 ~ 2021.12.27),수능,22.0
제303회[정례회](2021.11.01 ~ 2021.12.27),만전,9.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부서,89.0
제303회[정례회](2021.11.01 ~ 2021.12.27),고생,43.0
제303회[정례회](2021.11.01 ~ 2021.12.27),어쨌든,56.0
제303회[정례회](2021.11.01 ~ 2021.12.27),기해,10.0
제303회[정례회](2021.11.01 ~ 2021.12.27),실력,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),최대한,38.0
제303회[정례회](2021.11.01 ~ 2021.12.27),부탁,42.0
제303회[정례회](2021.11.01 ~ 2021.12.27),보시,54.0
제303회[정례회](2021.11.01 ~ 2021.12.27),그린,119.0
제303회[정례회](2021.11.01 ~ 2021.12.27),스쿨,8.0
제303회[정례회](2021.11.01 ~ 2021.12.27),학부형,19.0
제303회[정례회](2021.11.01 ~ 2021.12.27),적절,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),저걸,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),등하교,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),초등학교,112.0
제303회[정례회](2021.11.01 ~ 2021.12.27),장례식,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),화환,4.0
제303회[정례회](2021.11.01 ~ 2021.12.27),저런,20.0
제303회[정례회](2021.11.01 ~ 2021.12.27),위문,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),아마,84.0
제303회[정례회](2021.11.01 ~ 2021.12.27),저지,1.0
제303회[정례회](2021.11.01 ~ 2021.12.27),분위기,12.0
제303회[정례회](2021.11.01 ~ 2021.12.27),도저히,5.0
제303회[정례회](2021.11.01 ~ 2021.12.27),건가,28.0
제303회[정례회](2021.11.01 ~ 2021.12.27),그냥,125.0
