회수,단어,빈도수
제290회[정례회] (2019.11.01 ~ 2019.12.20),본질,13.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),려고,9.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),초등학교,271.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),프로젝트,11.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),나눔,56.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),혁명,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),견인,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),호응,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),대의,10.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),인공,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),지능,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),빅데이터,4.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),사물인터넷,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),첨단,2.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),지식,16.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),정보기술,1.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),선도,23.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),독서,66.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),인문,21.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),메이커,21.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),종합예술,6.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),함양,10.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),공통,18.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),반복,27.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),부합,14.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),긍정,28.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),피드백,7.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),가야,53.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),길이,9.0
제290회[정례회] (2019.11.01 ~ 2019.12.20),스스로,21.0
