회수,발언자,발언수
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육정보화과장 이숙자,7
제277회[정례회] (2017.11.01 ~ 2017.12.20),송파도서관장 김선희,7
제277회[정례회] (2017.11.01 ~ 2017.12.20),행정관리담당관 정재헌,7
제277회[정례회] (2017.11.01 ~ 2017.12.20),성동광진교육지원청교육장 김수득,7
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관장 김재숙,6
제277회[정례회] (2017.11.01 ~ 2017.12.20),서대문도서관장 민정숙,5
제277회[정례회] (2017.11.01 ~ 2017.12.20),강서양천교육지원청행정지원국장 조원익,3
제277회[정례회] (2017.11.01 ~ 2017.12.20),정책ㆍ안전기획관 이강태,3
제277회[정례회] (2017.11.01 ~ 2017.12.20),강동송파교육지원청행정지원국장 안은용,3
제277회[정례회] (2017.11.01 ~ 2017.12.20),강서양천교육지원청교육장 김광선,1
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생체육관 김재숙,1
