서울특별시의회 회의록 제290회[정례회] (2019.11.01 ~ 2019.12.20)
시의회 행정사무감사 및 조사에 관한 조례
게요. 서울특별시 자원봉사활동 지원 조례
"라 8,000원 이내입니다. 서울시 조례"
" 1만 1,000원이고 구청 단위의 조례"
관련해서 서울체육장학재단 설치 근거 조례
위원에게 이 체육장학재단 설립 근거 조례
 제가 한번 검토해 보고 필요하다면 조례
니다. 계속 지켜보겠습니다. 그리고 조례
 분명히 주십시오. 네. 필요하다면 조례
“만약 일부에서 우려하는 바와 같이 조례
 않아도 서울시에는 녹색제품이라든지 조례
 뭐냐면 이 유해물질 관련해서 관련 조례
관련해서 관련 조례나 서울시 차원의 조례
차원의 조례는 있지만 교육청 차원의 조례
각을 하고 있습니다. 우리가 학생인권조례
"죠, 2012년 이후니까요. 학생인권조례"
아직 그렇게 못 하고 있다는 거죠? 조례
"는 게, 사이버도박 관련해서는 우리 조례"
하는 것 같아요. 그런데 다른 것은 조례
보니까 못 하시는 것 같은데 그러면 조례
 그런 형편입니다. 그러면 관련해서 조례
시의회 행정사무감사 및 조사에 관한 조례
시의회 행정사무감사 및 조사에 관한 조례
" 국회에 요청을 하셔야 되고요, 또 조례"
"하셔야 되고요, 또 조례가 문제라면 조례"
에 시설물 안전 및 유지관리에 관한 조례
까지 되어 있습니다. 규칙까지? 그 조례
 사안 수영장이 이용하는 주민들에게 조례
 사안 수영장이 이용하는 주민들에게 조례
용심의위원회의 설치 및 운영에 관한 조례
 부분인데 어쨌든 시의적절하게 이런 조례
게 이런 조례안이 나왔기 때문에 이 조례
나왔기 때문에 이 조례안이 가결되면 조례
 어떻든 저희들도 나름대로 논의해서 조례
기로 되어 있는 이 50%는 사실은 조례
으로 알고 있습니다. 똑같이? 네. 조례
시의회 행정사무감사 및 조사에 관한 조례
경은 학교시설 개방에 따른 사용료를 조례
"는 방법 중의 하나가, 이번에 제가 조례"
하도록 하겠습니다. 저도 이 부분을 조례
권한을 가지고 계세요? 공유재산 관리조례
니고 교육감 행정권한의 위임에 관한 조례
 조례예요. 행정권한의 위임에 관한 조례
"임을 한 거예요. 네, 위임에 관한 조례"
 그렇지요. 그런데 그 위임에 관한 조례
하신 교육감 행정권한의 위임에 관한 조례
 말하는 것입니다. 위임사항은 저도 조례
하기가 어렵겠지만 전권을 위임한 그 조례
. 지난번에 의회에서 특수학급 설치 조례
"무사항으로 해야 될 부분이고, 우리 조례"
 그런 민원이 계속 발생되기 때문에 조례
 학교 시설의 개방 및 이용에 관한 조례
 교육비특별회계 소관 공유재산 관리 조례
"야 한다고 딱 규정에 나와 있어요, 조례"
"와 있어요, 조례 규정에. 지금 이 조례"
성이 있고 그럴 수 있기 때문에 이 조례
 어차피 시설 개방이라는 것은 이미 조례
 이미 조례상으로도 정해져 있지요. 조례
조례에 나와 있지요? 네. 그러니까 조례
시의회 행정사무감사 및 조사에 관한 조례
런 맥락도 있습니다. 우리가 학생인권조례
"가 달라지고 있다 것, 그리고 우리 조례"
부분에 대해서 갈등조정위원회도 제가 조례
지금 교육감의 행정권한 위임에 관한 조례
든 초중등교장협의회를 합법화하세요. 조례
"그리고 총괄 그다음에 분임, 지정, 조례"
", 그 부분에 관해서 위임된 사항을 조례"
"취소시킬 수 있다라고 있잖아요, 현 조례"
금 난색이 있는 게 공익제보자 지원 조례
익제보를 한 분이셔서 공익제보 지원 조례
