회수,발언자,발언수,위원구분
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육행정국장 백종대,192,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),위원장 김생환,189,위원
제277회[정례회] (2017.11.01 ~ 2017.12.20),오경환 위원,180,위원
제277회[정례회] (2017.11.01 ~ 2017.12.20),허기회 위원,153,위원
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설안전과장 최영식,145,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),참여협력담당관 양희두,141,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),평생교육과장 진영학,116,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),이정훈 위원,105,위원
제277회[정례회] (2017.11.01 ~ 2017.12.20),진로직업교육과장 홍민표,90,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육시설관리본부장 정해철,79,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),노사협력담당관 김양주,76,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),체육건강과장 안재홍,75,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),총무과장 손영순,73,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교안전공제회이사장 김형태,64,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생생활교육과장 조영상,58,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육과장 정혜손,57,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육재정과장 이길환,54,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),교육연구정보원장 이재근,49,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),초등교육과장 이재관,47,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),특정감사팀장 전창신,42,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),중부교육지원청교육장 전종보,41,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),정독도서관장 김희선,35,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),유아교육진흥원장 이경희,35,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),학교지원과장 신재웅,33,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),중등교육과장 최광락,31,교육청
제277회[정례회] (2017.11.01 ~ 2017.12.20),부위원장 장인홍,30,위원
