회의록구분,대수,회의구분,위원회,회수,피감사기관,회의일자,발언자,발언순번,발언내용,기관구분
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,허기회 위원,3687,"감사관님께 마지막으로 제가 한 가지 물어보겠습니다. 지금 사립학교가 얼마 전에도 한번 질의를 한 적이 있는데 문제점이 뭐라고 생각하세요, 사립학교 감사의 문제점이? 시간이 없어서 그런가요, 인원이 없어서 그런가요? 몇 년에 한 번씩 감사를 하잖아요.",위원
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,감사관 이민종,3688,"감사만 놓고 보면 결정적으로 저희 감사인력이 부족하다는 게 가장 큰 한계입니다, 감사만 놓고 보면. 처리는 다른 문제가 있지만 감사인력이 많지 않기 때문에 해야 할 학교는 많은데 많은 학교를 못 하고 있으니까, 기본적으로 징계시효가 3년이기 때문에 3년에 한 번 정도는 기본적인 종합감사가 돌아가야 되는데 그렇지 않고 있고요. 그래서 자꾸 문제가 생겨서 서울미술고처럼 종합감사한 지 꽤 오래된 학교들이 나오는 그런 상태가 생기고 있습니다.",감사관
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,허기회 위원,3689,그러면 해결방법은 인원 보충하는 것밖에 없는가요?,위원
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,감사관 이민종,3690,"네, 그래서 이번에도 교육청 차원에서 교육부에도 인원충원을 저희가 요청드린 상태고요. 그것 말고도 저희가 몇 가지 방안을 생각하고 있는 게 있는데 결정적으로는 저희 인원이 느는 것이 가장 중요한 문제인 것 같습니다.",감사관
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,허기회 위원,3691,앞으로 또 이런 일이 계속 생기게 되어 있어요.,위원
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,감사관 이민종,3692,그 부분이라고 하면 기본적으로 사립학교의 구조나 이런 것을 바꿔야 되는 문제여서 저희도 몇 가지 생각하는 것이 있지만 그것만 가지고 말씀드릴 수 있는 상황은 아니고요.,감사관
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,허기회 위원,3693,잘 알았습니다. 이상입니다.,위원
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,위원장 김생환,3694,허기회 위원님 수고 많으셨습니다. 이어서 김동욱 위원님 질의하여 주시기 바랍니다. 증인은 이쪽으로 자리를 옮겨 주시기 바랍니다.,위원장
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,김동욱 위원,3695,"김동욱입니다. 왔다 갔다 해서 좀 그러네. 한 곳에 서 있으면 다리도 아프고 그러니까 운동도 좀 하시고요. 제가 재단 대표들이라도 안 오겠어요. 가족이 이쪽으로 다 오겠어요, 쪽팔리게? 우리가 가야 되는 건데……. 실장님 말씀 중에 딱 하나만, 정상화가 제대로 되게 하려는 그런 의지가 있다면 가장 빠른 방법은 이 사실을 진실을 빨리 밝히는 것입니다. 그래야만 문제해결이 빨리 될 수 있는 거예요. 그래야지 정상화가 되기를 원하는 사람이 진정성이 있는 거지 이것 못 하고 저것 못 하고 그러면 어떻게 사실관계가 밝혀져요?",위원
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,서울미술고등학교행정실장 정호영,3696,못 한다고 한 적은 없습니다. 저희가 충실히 다 이행하는 것으로 얘기했습니다.,서울미술고등학교행정실장
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,김동욱 위원,3697,이런 것은 어렵고 저런 것은 어렵고…….,위원
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,서울미술고등학교행정실장 정호영,3698,"애로사항은 말씀드릴 수 있는 것을 제가 말씀드린 것입니다, 학교의 애로사항.",서울미술고등학교행정실장
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,김동욱 위원,3699,"들어가시고요. 감사관님, 아까 존경하는 허기회 위원님이 그러면 문제가 뭐냐, 인력의 문제라고 그랬어요. 인력도 부족하지요.",위원
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,감사관 이민종,3700,감사 측면에서만 보면 그렇습니다.,감사관
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,김동욱 위원,3701,"사립학교 문제가 지금 한두 번 터진 일입니까? 제가 처음에 교육위원회 와서도 그렇고 서울시의회 행자위원장 하면서도 대책이 필요하다고 그랬어요, 대책이. 대책이 뭐냐, 문제점을 파악하고 이 문제점을 어떻게 할 것인지 대책을 세워야지 문제 터지면 땜방식으로 수사결과 보고하겠습니다, 과정 보고하겠습니다, 이게 말이 되겠어요? 그래서 제가 얘기했던 게 내부 고발자들을 어떻게 할 것이냐, 이것 감사할 인력이 제대로 안 되면 다른 방법이라도 찾아봐야 되는 겁니다. 내부 고발자 보호 문제를 얘기했었지요?",위원
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,감사관 이민종,3702,네.,감사관
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,김동욱 위원,3703,"그러면 정말 과감하게 행정실장이 이 문제점에 대해서 제보를 했어요. 그러면 이 행정실장을 다른 공립학교의 행정실장으로 보내주든가 내부 고발자한테 평생 먹고 살 것을 주든지 그런 방법이 나오지 않고서 어떻게 이런 문제를 해결하겠어요, 적은 인력으로. 그래서 오죽했으면 제가 학생회 자치활동을 강화해서 학내 문제에 대해서 학생들이 주도적으로 하는 방법도 찾아보자 이런 얘기를 했었잖아요. 사립학교법이 바뀌지 않는 이상은 계속해서 나올 수 있는 이런 부분들인데 이것을 왜 감사관실에서 대책을, 인력을 얼마나 더 채워야 되는데요? 물론 부족하지요.",위원
서울특별시의회 회의록,9대,행정사무감사,교육위원회,제277회[정례회] (2017.11.01 ~ 2017.12.20),"교육행정국, 교육시설관리본부, 학교안전공제회(2)",2017.11.07 화요일,감사관 이민종,3704,"위원님, 아까 허기회 위원님께서 감사 측면에서 여쭤보셔서 저희가 실용적인 측면에서 인원을 말씀드렸던 거고요. 지적하신 것처럼 사실은 전방위적인 문제가 있고 전방위적인 해결책이 있어야 될 겁니다. 기본적으로는 제가 소견이 짧습니다만 사립학교의 지배구조 자체도 문제고 그것을 규정하고 있는 사립학교법은 당연히 손을 봐야 되는 거고요. 그리고 말씀하신 것처럼 그것을 견제할 수 있는 아까 학생회도 말씀하셨지만 운영위원회가 실제로 운영되게 하고, 그다음에 선생님들 교무회의가 실제로 의결권을 갖게 하고 이런 일련의 것들을 다, 어느 것 하나만 가지고 되는 것은 아니고 전반적으로 다 되어야 될 것입니다. 그리고 말씀하신 것처럼 제보자 문제도 저희가 나름대로 애를 쓰고 있습니다만 지금 위원님께서 요구하시는 수준은 저희가 할 수 있는 게 아니고 사실 법인업무가 바뀌지 않는 한 저희로서도 굉장히 한계가 있는 부분이기 때문에, 아시겠지만 저희가 조례를 만들어서 하는 데까지 하고 있습니다만 아직까지 역부족이고요. 국민권익위에서 법을 바꾸어서 하고 있지만 아직까지도 그 부분은 역부족인 것이 현실이기 때문에 그런 전반적인 것들이 다 같이 갖춰줘야 되는 부분이긴 합니다. 그것은 위원님 지적이 타당하시고요. 그것은 저희도 늘 유념하고 염두에 두고 있습니다.",감사관
