회수,단어,빈도수
제277회[정례회] (2017.11.01 ~ 2017.12.20),징수,25
제277회[정례회] (2017.11.01 ~ 2017.12.20),종료,25
제277회[정례회] (2017.11.01 ~ 2017.12.20),정해,25
제277회[정례회] (2017.11.01 ~ 2017.12.20),치료,25
제277회[정례회] (2017.11.01 ~ 2017.12.20),장해,25
제277회[정례회] (2017.11.01 ~ 2017.12.20),사정,24
제277회[정례회] (2017.11.01 ~ 2017.12.20),고생,24
제277회[정례회] (2017.11.01 ~ 2017.12.20),개입,24
제277회[정례회] (2017.11.01 ~ 2017.12.20),공증,24
제277회[정례회] (2017.11.01 ~ 2017.12.20),접근,24
제277회[정례회] (2017.11.01 ~ 2017.12.20),제로,24
제277회[정례회] (2017.11.01 ~ 2017.12.20),교재,24
제277회[정례회] (2017.11.01 ~ 2017.12.20),계세,24
제277회[정례회] (2017.11.01 ~ 2017.12.20),장학,24
제277회[정례회] (2017.11.01 ~ 2017.12.20),실정,24
제277회[정례회] (2017.11.01 ~ 2017.12.20),것입,24
제277회[정례회] (2017.11.01 ~ 2017.12.20),범죄,24
제277회[정례회] (2017.11.01 ~ 2017.12.20),청구,24
제277회[정례회] (2017.11.01 ~ 2017.12.20),수감,23
제277회[정례회] (2017.11.01 ~ 2017.12.20),수입,23
제277회[정례회] (2017.11.01 ~ 2017.12.20),네트워크,23
제277회[정례회] (2017.11.01 ~ 2017.12.20),나이스,23
제277회[정례회] (2017.11.01 ~ 2017.12.20),사립학교법,23
제277회[정례회] (2017.11.01 ~ 2017.12.20),중인,23
제277회[정례회] (2017.11.01 ~ 2017.12.20),수행,23
제277회[정례회] (2017.11.01 ~ 2017.12.20),무사,23
제277회[정례회] (2017.11.01 ~ 2017.12.20),학생회,23
제277회[정례회] (2017.11.01 ~ 2017.12.20),단가,23
제277회[정례회] (2017.11.01 ~ 2017.12.20),조리,23
제277회[정례회] (2017.11.01 ~ 2017.12.20),흡연,23
제277회[정례회] (2017.11.01 ~ 2017.12.20),의석,22
제277회[정례회] (2017.11.01 ~ 2017.12.20),정돈,22
제277회[정례회] (2017.11.01 ~ 2017.12.20),아무,22
제277회[정례회] (2017.11.01 ~ 2017.12.20),오해,22
제277회[정례회] (2017.11.01 ~ 2017.12.20),유념,22
제277회[정례회] (2017.11.01 ~ 2017.12.20),정식,22
제277회[정례회] (2017.11.01 ~ 2017.12.20),거래,22
제277회[정례회] (2017.11.01 ~ 2017.12.20),봉사,22
제277회[정례회] (2017.11.01 ~ 2017.12.20),자문,22
제277회[정례회] (2017.11.01 ~ 2017.12.20),존중,22
제277회[정례회] (2017.11.01 ~ 2017.12.20),하든,22
제277회[정례회] (2017.11.01 ~ 2017.12.20),실습,22
제277회[정례회] (2017.11.01 ~ 2017.12.20),조희연,21
제277회[정례회] (2017.11.01 ~ 2017.12.20),실화,21
제277회[정례회] (2017.11.01 ~ 2017.12.20),지식,21
제277회[정례회] (2017.11.01 ~ 2017.12.20),지자체,21
제277회[정례회] (2017.11.01 ~ 2017.12.20),소득,21
제277회[정례회] (2017.11.01 ~ 2017.12.20),반복,21
제277회[정례회] (2017.11.01 ~ 2017.12.20),기록,21
제277회[정례회] (2017.11.01 ~ 2017.12.20),분위기,21
제277회[정례회] (2017.11.01 ~ 2017.12.20),지원청,21
제277회[정례회] (2017.11.01 ~ 2017.12.20),공익,21
제277회[정례회] (2017.11.01 ~ 2017.12.20),최대한,21
제277회[정례회] (2017.11.01 ~ 2017.12.20),선포,21
제277회[정례회] (2017.11.01 ~ 2017.12.20),시점,21
제277회[정례회] (2017.11.01 ~ 2017.12.20),해임,21
